Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRA12,OUT046,2131.945628696152
DRA12,OUT049,2100.350718665988
DRA12,OUT027,2996.5609955502414
DRA24,OUT045,2618.117941579375
DRA24,OUT018,2515.357282851082
DRA24,OUT046,2613.566373714966
DRA59,OUT045,3127.6999620983215
DRA59,OUT035,3141.884532047516
DRB01,OUT017,3131.3591665816243
DRB01,OUT018,3039.2847969187005
DRB01,OUT046,3147.6322254130287
DRB01,OUT035,3114.7624016628915
DRB01,OUT019,502.1829499354972
DRB13,OUT045,3097.084532895147
DRB13,OUT018,3021.1318381515403
DRB13,OUT046,3129.4733310006354
DRB13,OUT027,5260.567974811158
DRB24,OUT046,2478.0379864993006
DRB24,OUT013,2429.1197779366926
DRB24,OUT018,2387.175545780631
DRB24,OUT027,4096.716362584739
DRB25,OUT049,1643.2975969920717
DRB25,OUT046,1650.1030971778175
DRB25,OUT045,1649.442747166021
DRB25,OUT019,259.19872025772946
DRB48,OUT045,625.0830275859707
DRB48,OUT018,606.6884794248458
DRC01,OUT010,131.10667577614404
DRC01,OUT035,763.219833485969
DRC01,OUT049,785.0968510623329
DRC12,OUT018,2941.138323347689
DRC12,OUT013,3008.6652737101062
DRC12,OUT045,3019.3943631126854
DRC12,OUT027,5660.81360055913
DRC13,OUT049,2050.30534463817
DRC13,OUT013,2028.4491379613369
DRC13,OUT046,2052.2820164439354
DRC13,OUT027,2978.077484243319
DRC24,OUT035,2539.7226459354442
DRC24,OUT049,2506.196752633026
DRC24,OUT013,2465.894522003601
DRC24,OUT045,2539.063970038853
DRC24,OUT046,2520.5299019933877
DRC24,OUT027,4105.83943264898
DRC24,OUT019,365.57268779976175
DRC25,OUT035,1356.4650102815285
DRC25,OUT049,1356.8009330153754
DRC25,OUT017,1356.0477576204046
DRC27,OUT046,3940.3442239634774
DRC27,OUT013,3916.765590414124
DRC27,OUT019,571.27066579273
DRC27,OUT027,5848.6320218678475
DRC36,OUT045,2851.144532700749
DRC36,OUT010,421.0039598309535
DRC36,OUT049,2870.3001588644256
DRC36,OUT018,2770.097999401418
DRC36,OUT019,426.6084418431929
DRC49,OUT049,2083.4564922843815
DRC49,OUT017,2458.6764109818246
DRC49,OUT013,2412.596645311393
DRC49,OUT018,2359.022918974687
DRC49,OUT045,2473.797443519917
DRC49,OUT019,343.4735007713073
DRD01,OUT013,1018.8610435055025
DRD01,OUT046,955.9437477040308
DRD01,OUT019,131.10667577614404
DRD01,OUT027,1227.8390856580493
DRD12,OUT010,212.37144515851102
DRD13,OUT046,1128.5317382773492
DRD15,OUT018,3530.539917503875
DRD15,OUT017,3857.2982751730206
DRD15,OUT027,5847.688001713475
DRD24,OUT045,2063.348106398275
DRD24,OUT035,2076.262638131017
DRD24,OUT019,295.03669163428333
DRD25,OUT013,1799.2849058607455
DRD25,OUT017,1735.8767735052356
DRD27,OUT035,1568.2939607412015
DRD27,OUT046,1568.8976128591719
DRD27,OUT018,1598.9604441446481
DRD27,OUT027,2841.6459553716304
DRD37,OUT035,760.9533505881866
DRD37,OUT027,1059.1743519070696
DRD49,OUT013,3754.4011806756894
DRD49,OUT018,3549.758776330385
DRD49,OUT049,3760.341050079855
DRD49,OUT027,5848.6320218678475
DRD60,OUT017,3064.7413188928017
DRD60,OUT045,3087.0071628379255
DRD60,OUT027,5095.057842493979
DRE01,OUT035,3888.3468119564386
DRE01,OUT013,3811.3886435360428
DRE01,OUT018,3562.867860357258
DRE01,OUT049,3815.8850715257854
DRE01,OUT045,3867.120958480932
DRE01,OUT017,3838.4758118693053
DRE01,OUT027,5848.6320218678475
DRE03,OUT013,817.4822010011837
DRE03,OUT027,1082.8857176008728
DRE12,OUT017,1891.5481696350023
DRE12,OUT018,1847.8190588628338
DRE13,OUT017,1357.0614338280088
DRE13,OUT046,1374.1401262330705
DRE13,OUT018,1354.5538179213763
DRE13,OUT010,207.12663435908627
DRE13,OUT019,204.73688967191885
DRE15,OUT049,1280.561210561871
DRE15,OUT013,1278.6464921459024
DRE15,OUT035,1127.7127385418141
DRE15,OUT010,160.5900903670259
DRE25,OUT018,1479.7651946180945
DRE25,OUT045,1413.684127625115
DRE25,OUT013,1463.750565856629
DRE25,OUT019,233.24846858673573
DRE27,OUT018,1513.1914555990443
DRE27,OUT017,1538.9406152831057
DRE27,OUT027,2835.1367923842213
DRE37,OUT013,3096.2132007038663
DRE37,OUT045,3110.4897577094507
DRE37,OUT017,3117.821445482964
DRE37,OUT027,5153.319596586682
DRE48,OUT010,505.57117771275375
DRE48,OUT049,3154.380748792153
DRE60,OUT046,3669.72578459433
DRE60,OUT018,3452.820013382202
DRE60,OUT027,5846.65461926783
DRF01,OUT010,363.71931940826494
DRF01,OUT045,2472.722792963976
DRF03,OUT017,609.1323361166122
DRF13,OUT035,2520.1841341669674
DRF13,OUT027,4049.0225884287765
DRF13,OUT019,362.3669242037358
DRF15,OUT010,368.0933010255752
DRF15,OUT017,2503.370586677239
DRF15,OUT045,2523.377254056064
DRF15,OUT049,2500.4205299970813
DRF15,OUT035,2530.2802707332535
DRF15,OUT027,4076.6248668884214
DRF23,OUT013,2827.4967486895644
DRF25,OUT018,591.0407199679277
DRF25,OUT017,610.0675600297118
DRF27,OUT045,2481.5981407563777
DRF36,OUT035,3105.057321272081
DRF36,OUT017,3101.5322351558675
DRF36,OUT013,3074.85675865987
DRF37,OUT046,4149.745647931187
DRF37,OUT049,4131.35839837841
DRF37,OUT027,5848.6320218678475
DRF48,OUT010,489.6570378390899
DRF48,OUT013,3101.3575690694597
DRF48,OUT046,3132.5268254872512
DRF48,OUT018,3035.296491672642
DRF48,OUT035,3130.017768303564
DRF48,OUT049,3153.0716013598394
DRF48,OUT017,3136.238156750101
DRF48,OUT027,5145.697695992247
DRF49,OUT017,1900.8692625883268
DRF49,OUT013,1908.0950155073638
DRF49,OUT027,2928.3019464188606
DRF51,OUT010,131.10667577614404
DRF51,OUT013,682.2917170774404
DRF51,OUT017,591.6902102058746
DRF51,OUT035,612.5214761607907
DRF51,OUT027,1004.4239200155814
DRF60,OUT013,3886.0449602303247
DRF60,OUT035,3975.517789313715
DRF60,OUT046,3894.288471751325
DRF60,OUT027,5849.665404313493
DRG01,OUT017,1273.0489518065003
DRG01,OUT049,1201.3404819794323
DRG01,OUT045,1147.6872899945947
DRG01,OUT018,1201.3173272174856
DRG03,OUT017,2508.229600052434
DRG03,OUT045,2527.168907498205
DRG03,OUT049,2512.354397501315
DRG03,OUT035,2542.8929114413927
DRG11,OUT017,1656.8650350929706
DRG11,OUT035,1649.8977230756054
DRG11,OUT049,1642.795905676575
DRG11,OUT027,2890.0481136973294
DRG13,OUT049,2608.2317495233597
DRG13,OUT046,2615.0099889495823
DRG13,OUT010,381.3373215566442
DRG15,OUT018,968.7802266741163
DRG15,OUT027,1406.40128791837
DRG23,OUT017,2462.694535158982
DRG23,OUT010,364.9506259554054
DRG25,OUT046,3135.9461984024842
DRG25,OUT045,3110.3614810016506
DRG25,OUT018,3034.17493615813
DRG25,OUT049,3139.172596723631
DRG25,OUT017,3127.3300942446926
DRG25,OUT027,5154.033206658964
DRG27,OUT017,612.6639863170701
DRG27,OUT013,702.0269276313983
DRG27,OUT035,618.9752265320485
DRG27,OUT027,1018.9710072157521
DRG36,OUT017,2857.688026197594
DRG36,OUT049,2845.9579712985073
DRG36,OUT018,2681.451792881353
DRG37,OUT017,2528.5119069207194
DRG37,OUT010,368.9515029954379
DRG37,OUT027,4118.299928704598
DRG39,OUT035,842.5914328010311
DRG39,OUT013,850.1907329802766
DRG39,OUT045,871.405392652163
DRG39,OUT017,841.1937888362294
DRG39,OUT027,1275.3991579806109
DRG48,OUT035,2485.5854051584656
DRG48,OUT010,364.4993472809034
DRG48,OUT017,2457.5900868898057
DRG48,OUT013,2395.175406057174
DRG48,OUT019,359.8451732573938
DRG49,OUT049,3905.739846594859
DRG49,OUT035,3981.0589264606433
DRG49,OUT013,3908.2110586813524
DRG49,OUT046,3928.5578362281044
DRG49,OUT019,570.0295998905473
DRG51,OUT013,2564.8669012431988
DRG51,OUT018,2567.748715747106
DRG51,OUT035,2684.799636872604
DRG51,OUT027,4243.60698765876
DRH01,OUT049,2852.2764511675023
DRH01,OUT035,2858.1581387909164
DRH01,OUT013,2824.456945808818
DRH01,OUT018,2754.0491190384705
DRH03,OUT017,1451.1189893686344
DRH03,OUT013,1504.1670951209608
DRH03,OUT045,1503.2975879357275
DRH03,OUT027,2834.960936027199
DRH11,OUT046,959.4937191074313
DRH11,OUT010,131.45597357730804
DRH11,OUT035,875.8344535800658
DRH11,OUT017,874.2710301323468
DRH11,OUT018,897.4326505004603
DRH11,OUT019,131.10667577614404
DRH13,OUT035,1654.6417848013882
DRH13,OUT049,1642.340929766991
DRH13,OUT017,1650.1330502900337
DRH13,OUT027,2889.7699055161274
DRH15,OUT035,669.9250091353393
DRH15,OUT017,643.260152397244
DRH15,OUT045,636.0898471680754
DRH15,OUT049,781.1651788100529
DRH15,OUT027,1083.5111735437772
DRH23,OUT018,898.7353844180801
DRH23,OUT010,131.10667577614404
DRH23,OUT046,959.883266032315
DRH23,OUT035,875.1427258253154
DRH23,OUT027,1277.5147179721637
DRH25,OUT018,839.1419885551196
DRH25,OUT049,858.2924454943619
DRH25,OUT046,910.7522636966797
DRH36,OUT049,1111.9808918611884
DRH36,OUT018,1108.9119876132236
DRH36,OUT027,1520.1346333600295
DRH37,OUT018,2549.969952345197
DRH37,OUT046,2606.669022094925
DRH37,OUT010,384.1945648597715
DRH37,OUT027,4243.60698765876
DRH39,OUT010,154.78829663755306
DRH39,OUT018,1175.5874994667665
DRH39,OUT045,1151.0722785020382
DRH39,OUT035,1276.8511929750678
DRH49,OUT045,1328.2597394283998
DRH49,OUT049,1288.7452327365029
DRH49,OUT035,1326.8592967206393
DRH49,OUT010,167.74752809104183
DRH49,OUT017,1323.6950949861448
DRH49,OUT027,2309.833486911898
DRH51,OUT018,1361.4361963735857
DRH51,OUT017,1358.193249901086
DRH51,OUT046,1364.397245859192
DRH51,OUT045,1368.4738069869331
DRH59,OUT045,1105.5434798559027
DRH59,OUT018,1136.8832489210674
DRH59,OUT035,1154.0547462412696
DRH59,OUT013,1281.8376139271268
DRH59,OUT017,1097.3176418832509
DRH59,OUT027,1462.3868085163206
DRI01,OUT035,2851.54952032524
DRI01,OUT049,2868.9654339685485
DRI03,OUT045,2868.821964868171
DRI03,OUT010,426.56661871449774
DRI11,OUT046,1943.234974474
DRI11,OUT013,1931.4848726616128
DRI11,OUT017,1916.533514737419
DRI13,OUT045,3683.7240965830397
DRI13,OUT049,3620.7891967348114
DRI13,OUT035,3709.430346434568
DRI13,OUT027,5847.688001713475
DRI23,OUT046,2575.9731048423055
DRI23,OUT013,2531.9805115260024
DRI25,OUT018,898.7353844180801
DRI25,OUT035,874.051605312013
DRI37,OUT035,945.8664735089193
DRI37,OUT013,1040.3153007797532
DRI37,OUT045,877.5964201044542
DRI39,OUT049,908.9106071539836
DRI39,OUT013,1016.5608533623351
DRI39,OUT045,877.1358488982905
DRI39,OUT046,956.7938658350781
DRI47,OUT017,2508.283174345336
DRI47,OUT045,2495.997375451495
DRI47,OUT019,363.157986076009
DRI47,OUT027,4022.948540461245
DRI49,OUT049,1310.868845889162
DRI49,OUT017,1325.8396585204378
